*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
2.000000	74.8357   	2.000000	73.7345   	2.000000	73.3113   	2.000000	73.3113   	2.000000	0.550663  	2.000000	0.427508  	2.000000	0.789601  	2.000000	0.829288  	2.000000	0.791888  	
2.250000	88.9763   	2.250000	87.6664   	2.250000	87.1528   	2.250000	87.1528   	2.250000	0.658811  	2.250000	0.501455  	2.250000	0.894462  	2.250000	0.936333  	2.250000	0.897985  	
2.500000	104.124   	2.500000	102.576   	2.500000	101.981   	2.500000	101.981   	2.500000	0.775167  	2.500000	0.579736  	2.500000	1.00667   	2.500000	1.04972   	2.500000	1.0116    	
3.000000	137.76    	3.000000	135.242   	3.000000	134.514   	3.000000	134.514   	3.000000	1.03181   	3.000000	0.748836  	3.000000	1.25275   	3.000000	1.29503   	3.000000	1.26092   	
3.500000	174.873   	3.500000	171.578   	3.500000	170.766   	3.500000	170.766   	3.500000	1.31935   	3.500000	0.933856  	3.500000	1.52692   	3.500000	1.5642    	3.500000	1.53887   	
4.000000	215.358   	4.000000	211.451   	4.000000	210.612   	4.000000	210.612   	4.000000	1.63664   	4.000000	1.13392   	4.000000	1.82812   	4.000000	1.85615   	4.000000	1.84431   	
4.500000	259.126   	4.500000	254.744   	4.500000	253.941   	4.500000	253.941   	4.500000	1.98266   	4.500000	1.34834   	4.500000	2.15531   	4.500000	2.16987   	4.500000	2.17615   	
5.000000	306.098   	5.000000	301.353   	5.000000	300.655   	5.000000	300.655   	5.000000	2.35645   	5.000000	1.57649   	5.000000	2.5075    	5.000000	2.50438   	5.000000	2.53335   	
5.500000	356.209   	5.500000	351.185   	5.500000	350.664   	5.500000	350.664   	5.500000	2.75715   	5.500000	1.81782   	5.500000	2.88379   	5.500000	2.85883   	5.500000	2.91501   	
6.000000	409.395   	6.000000	404.155   	6.000000	403.887   	6.000000	403.887   	6.000000	3.18398   	6.000000	2.07182   	6.000000	3.28336   	6.000000	3.23241   	6.000000	3.32027   	
