** This file contains HiRA CsI calibrations for different Z and A isotopes.
** Each isotope has to be independently specified even if the calibration formula works for more isotopes with the same parameters.
** WARNING: calibration formulas can't contain the '*' character. Please replace it with a '.' to indicate a multiplication.
**************************************************************************************************************************************** 
 *tel    csi      Z      A          Fenhai's Formula                 NumParPar0             Par1        Par2       Par3
    7      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  -0.00181823  0.00770274     1.65394    1.7913
    7      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  -0.00181823  0.00770274     1.65394    1.7913
    7      1      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00389348  0.00807662     1.97626   2.14113
    7      1      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00389348  0.00807662     1.97626   2.14113
    7      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00389348  0.00807662     1.97626   2.14113
    7      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00224649  0.00793925     1.99066   2.15601
    7      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00224649  0.00793925     1.99066   2.15601
    7      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00224649  0.00793925     1.99066   2.15601
    7      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00243069  0.00798095     1.99046   2.16247
    7      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00243069  0.00798095     1.99046   2.16247
    7      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00243069  0.00798095     1.99046   2.16247
    8      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4   0.0044533  0.00757152     1.98567   2.14263
    8      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4   0.0044533  0.00757152     1.98567   2.14263
    8      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4   0.0044533  0.00757152     1.98567   2.14263
    8      1      1      1                        [0]+[1].x^[2]                3  -0.0115934  0.00892153    0.927166
    8      1      1      2                        [0]+[1].x^[2]                3  -0.0262044   0.0122825    0.873588
    8      1      1      3                        [0]+[1].x^[2]                3   -0.018746   0.0109074    0.902724
    8      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00732089  0.00758373     1.66523   1.79179
    8      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00732089  0.00758373     1.66523   1.79179
    8      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00732089  0.00758373     1.66523   1.79179
    8      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4   0.0049441  0.00742739     1.66969   1.79678
    8      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4   0.0049441  0.00742739     1.66969   1.79678
    8      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4   0.0049441  0.00742739     1.66969   1.79678
    9      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  -0.00283667  0.00749169     1.98856    2.1591
    9      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  -0.00283667  0.00749169     1.98856    2.1591
    9      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  -0.00283667  0.00749169     1.98856    2.1591
    9      1      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00088754  0.00699766     1.96847   2.09926
